Sent,Received,Returned,Frames,Nodes
8807204003420,8807214333234,8807276941422,14,4
8807209159747,8807224646909,8807282086147,14,4
8807214296772,8807224580723,8807287297410,14,4
8807219391535,8807234936803,8807292563133,14,4
8807224568110,8807240124819,8807297702188,14,4
8807229803537,8807245386629,8807302965360,14,4
8807234948957,8807250580670,8807308133168,14,4
8807240170229,8807250508603,8807313285961,14,4
8807245357600,8807250561178,8807318463278,14,4
8807250614304,8807266346681,8807323698247,14,4
8807255772166,8807271615483,8807329028833,14,4
8807261034659,8807276815871,8807334223982,14,4
8807266316294,8807276866418,8807339376863,14,4
8807271692157,8807282004943,8807344518309,14,4
