Sent,Received,Returned,Frames,Nodes
2063336789255,2063395793506,2063402886639,13,10
2063341902201,2063369666900,2063407965106,13,10
2063346989398,2063407735660,2063413062364,13,10
2063352075868,2063364146972,2063420926485,13,10
2063357158141,2063405669299,2063426097861,13,10
2063362243972,2063389957196,2063438998553,13,10
2063367330551,2063431497565,2063458822130,13,10
2063372411237,2063378358557,2063463965033,13,10
2063377494645,2063463930854,2063469112207,13,10
2063382582209,2063469103245,2063474190580,13,10
2063387667891,2063431200669,2063479354597,13,10
2063392740748,2063436733804,2063484424776,13,10
2063397810455,2063425502069,2063489488473,13,10
