Sent,Received,Returned,Frames,Nodes
3347928617720,3347967432984,3348094698297,19,17
3347938616608,3348089550011,3348099798660,19,17
3347943684189,3347977553493,3348108368441,19,17
3347948758042,3348103275563,3348113462826,19,17
3347953828029,3348039932152,3348118560831,19,17
3347958896696,3348021898118,3348123696362,19,17
3347963964586,3348050053688,3348129304152,19,17
3347969027339,3348098172351,3348134516189,19,17
3347974090954,3347979161964,3348139613328,19,17
3347979153379,3348012976343,3348144671243,19,17
3347984238693,3348119030695,3348149965553,19,17
3347989307980,3348134405433,3348155099065,19,17
3347994375660,3348020862243,3348160390127,19,17
3347999432723,3348004499981,3348165601693,19,17
3348004492930,3348083533140,3348170875826,19,17
3348009558200,3348170887106,3348176153489,19,17
3348014624755,3348088507331,3348181584330,19,17
3348023127018,3348165647342,3348186651929,19,17
3348028167704,3348103807956,3348191720699,19,17
