Sent,Received,Returned,Frames,Nodes
8828225060452,8828236373086,8828301952164,15,8
8828230153114,8828237113991,8828307176306,15,8
8828235255680,8828257909055,8828312386882,15,8
8828240353220,8828257935233,8828317515018,15,8
8828245461342,8828257848921,8828322766312,15,8
8828250616721,8828278613980,8828327897825,15,8
8828255728605,8828288823125,8828333077567,15,8
8828260903183,8828293975388,8828338320626,15,8
8828266009371,8828293900876,8828343552085,15,8
8828271134211,8828278254194,8828348812799,15,8
8828276285387,8828298934834,8828354042411,15,8
8828281398952,8828299034556,8828359305756,15,8
8828286552490,8828309666479,8828364509644,15,8
8828291681179,8828298975724,8828369761495,15,8
8828296781432,8828309518586,8828374996356,15,8
