Sent,Received,Returned,Frames,Nodes
1945727528791,1945790255946,1945827029137,19,15
1945732615548,1945760440066,1945837623403,19,15
1945737685652,1945781593425,1945842792457,19,15
1945742753533,1945822428165,1945847977477,19,15
1945747825480,1945837626295,1945853230934,19,15
1945752888524,1945796798611,1945858397948,19,15
1945757947876,1945777552028,1945863894513,19,15
1945763008051,1945827505724,1945868962865,19,15
1945768070370,1945779685317,1945874037115,19,15
1945773132880,1945792747240,1945879140645,19,15
1945778194146,1945822173000,1945884365023,19,15
1945783253253,1945847961876,1945889539067,19,15
1945788318996,1945868894884,1945894896423,19,15
1945793385653,1945851634023,1945899965570,19,15
1945798450275,1945851614617,1945905074211,19,15
1945803512826,1945868877467,1945910209128,19,15
1945808614665,1945867208835,1945915443075,19,15
1945813750875,1945879128555,1945920778623,19,15
1945818841261,1945838831482,1945925893333,19,15
